area_sqm,rooms,floor,floor_count,build_year,latitude,longitude,distance_to_center,poi_count,distance_to_school,distance_to_healthcare,distance_to_post_office,distance_to_kindergarten,distance_to_restaurant,distance_to_college,distance_to_pharmacy,has_parking,has_balcony,has_elevator,has_security,has_storage,price,listing_year,listing_month
81.45,3,2,3,1882,51.764,19.4663,2.1,18,0.196,0.71,0.269,0.303,0.259,0.072,0.512,1,1,1,1,0,516000,2023,8
51,2,3,3,1950,51.79206645,19.47560924,1.85,13,0.144,1.474,0.243,0.131,0.458,1.615,0.198,1,1,1,1,0,390000,2023,8
68,3,4,4,2002,51.807,19.3264,9.27,3,0.175,2.201,0.27,0.044,0.574,,0.734,1,1,1,1,0,440000,2023,8
47.5,2,1,2,1950,51.7469,19.482,4.28,6,0.164,0.538,0.802,0.411,0.491,1.694,0.251,1,1,1,1,0,279000,2023,8
100.53,4,9,10,1993,51.7935,19.4514,1.35,21,0.156,0.505,0.269,0.179,0.253,1.038,0.04,1,1,1,1,0,750000,2023,8
61.37,3,11,11,1970,51.7931,19.4483,1.36,20,0.19,0.597,0.272,0.249,0.185,0.922,0.253,1,1,1,1,0,349000,2023,8
69.8,3,3,5,2020,51.7216,19.5016,7.4,2,0.734,1.097,0.989,0.363,0.663,2.476,0.441,1,1,1,1,1,690000,2023,8
38.3,2,6,10,,51.7962,19.3833,5.18,18,0.335,3.432,0.013,0.22,0.249,1.136,0.183,1,1,1,1,1,230000,2023,8
43.82,2,3,4,1968,51.7635,19.4473,2.07,19,0.303,0.143,0.176,0.255,0.148,1.376,0.17,1,1,1,1,1,329000,2023,8
88.46,4,3,3,,51.7648,19.4463,1.95,16,0.319,0.213,0.156,0.232,0.302,1.444,0.328,1,1,1,1,0,485000,2023,8
57.2,3,1,10,1971,51.8064,19.46,2.79,1,0.447,1.925,0.814,0.6,0.587,2.589,0.904,1,1,1,1,1,359000,2023,8
74.28,3,4,4,2017,51.7578,19.4116,3.97,4,0.374,0.966,1.076,0.302,0.477,3.032,0.66,1,1,1,1,1,809652,2023,8
38.5,2,7,11,1975,51.7947,19.4395,1.8,19,0.278,0.75,0.519,0.099,0.274,1.13,0.168,1,1,1,1,1,296000,2023,8
42.42,2,7,11,,51.745345,19.390956,5.95,28,0.259,0.424,0.114,0.164,0.17,4.29,0.08,1,1,1,1,1,375000,2023,8
48.46,3,7,7,,51.751,19.4605,3.42,20,0.43,0.598,0.578,0.353,0.073,0.351,0.212,1,1,1,1,0,484500,2023,8
99.5,3,,3,,51.7726,19.4482,1.09,30,0.07,0.405,0.222,0.273,0.08,1.233,0.328,1,1,1,1,0,579000,2023,8
84.26,4,,3,,51.743333,19.562219,8.53,11,0.056,2.284,0.198,0.162,0.42,4.368,0.47,1,1,1,1,0,849000,2023,8
36.5,2,3,4,1960,51.7915,19.3916,4.48,12,0.327,2.663,0.78,0.319,0.172,0.362,0.178,1,1,1,1,1,307000,2023,8
52.73,3,2,2,2005,51.7404,19.5726,9.31,10,0.264,3.058,0.642,0.285,0.206,,0.247,1,1,1,1,1,595000,2023,8
45,2,2,5,1910,51.7714,19.4637,1.28,23,0.314,0.633,0.026,0.146,0.095,0.674,0.036,1,1,1,1,0,420000,2023,8
69.68,3,1,4,1950,51.7709492,19.4617189,1.27,41,0.31,0.717,0.17,0.032,0.195,0.807,0.18,1,1,1,1,1,450000,2023,8
57,3,5,10,,51.7957,19.4655,1.74,9,0.293,1.024,0.47,0.359,0.601,1.612,0.413,1,1,1,1,0,420000,2023,8
37,2,2,4,1978,51.7344,19.4955,5.94,24,0.237,1.554,0.24,0.106,0.226,1.941,0.188,1,1,1,1,1,325000,2023,8
37,2,2,4,1978,51.7429,19.4959,5.14,15,0.101,1.325,0.53,0.156,0.302,2.389,0.115,1,1,1,1,1,325000,2023,8
38.83,3,4,4,1962,51.7703,19.4406,1.58,14,0.082,0.88,0.156,0.592,0.372,1.67,0.02,1,1,1,1,1,379000,2023,8
126,6,1,2,1998,51.7791,19.39765,3.94,0,0.822,1.459,0.595,1.361,0.557,1.157,0.679,1,1,1,1,0,749000,2023,8
58.57,3,3,4,,51.7707299,19.44250311,1.47,16,0.068,0.846,0.292,0.517,0.271,1.605,0.149,1,1,1,1,1,352000,2023,8
53,3,4,4,1979,51.7393,19.3904,6.45,12,0.248,0.903,0.57,0.106,0.242,4.253,0.179,1,1,1,1,1,340000,2023,8
45.13,2,3,4,1975,51.8064416,19.460037,2.8,1,0.452,1.93,0.819,0.6,0.592,2.594,0.91,1,1,1,1,0,397000,2023,8
56,3,8,9,,51.747721,19.41779077,4.54,19,0.352,0.342,0.159,0.319,0.158,2.429,0.349,1,1,1,1,0,365000,2023,8
31,1,4,4,,51.7513,19.4453,3.42,9,0.182,1.001,0.776,1.109,0.364,0.613,0.407,1,1,1,1,1,255000,2023,8
